user,text
1277004145459953665,@warneriusko @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Como siempre el care'perro sale a trabajar a favor de su amo inutil e inepto Vizcarra.
1277004065243889666,"@JOEDEUTEROS2319 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano No es competencia, todos los paises tienen como minimo 5% de infectados, España 2,1 millones; Peru seguro 1,7 millones. Lo que hacen las pruebas es encontrarlos. En resumen , solo guiate por las otras estadisticas UCI, RECUPERADOS, LETALIDAD ."
1277003971006271489,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Cuidence por favor  !!!!!!!!! distanciamiento fisico ! ❤️❤️❤️❤️🙏🤍💪 tomen distancia 🥺
1277003953960636419,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano MEMOREX HACE # 4⃣5⃣ Dias INCAPAZ de Vizcarra-ta 🐀 Triunfalista Decia OTRA de SUS TANTAS MENTIRAS+, NUEVO RECORD +275,989 Contagiados,+3,625 Nuevos Casos, CON +196 Fallecidos NI PROMETIDOS 80 Hospitales, NI OXIGENO, NI MEDICINAS, MENOS DESCENSO. !! INEPTO de .... !! 😐 https://t.co/hqleSbCdZv"
1277003945181839361,@warneriusko @felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano que dijo?
1277003911891648517,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano 164,024 RECUPERADOS 59.43%
102,830 ACTIVOS 37.26%
9,135 FALLECIDOS 3.31%
TOTALES: 275,989 CASOS"
1277003906770493441,@JuanRicardoUgal @Ojo_Publico @Minsa_Peru A eso me refiero que el Minsa actue porque CORRUPCION REGIONAL en el Peru....es una pandemia
1277003879700463616,"@warneriusko @enrique_ers @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Extintos te refieres a muertos ( ?) Porque , de hospitalizados al dia de hoy, hay -202 , y las muertes oficiales al dia de hoy es 196 , no concatena . Solo es una pregunta con todo respeto (?)."
1277003875048923141,"@felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Un aprofujitroll usando noticias de Hildebrandt 😂😂 
Oe queso ya quemaste 😂😂"
1277003801489223688,"@HeberNavar @felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano sep, son aproximaciones hechas a base de los datos del SINADEF basandose en el exeso de muertes al promeido normal"
